Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9
"(383, 0.07897291501229683)","(636, 0.10440651706075586)","(497, 0.08781148140506488)","(162, 0.15904538144359398)","(13, 0.12507847540900302)","(273, 0.12768039408014703)","(299, 0.09501162330713586)","(532, 0.30338253787933567)","(638, 0.22898278088953763)"
"(3, 0.07806693998955792)","(504, 0.10424062609563543)","(162, 0.08552554919421193)","(539, 0.15791653834696814)","(141, 0.12472717606121389)","(134, 0.1265849843336218)","(291, 0.09400507811219251)","(479, 0.29517895257177923)","(528, 0.22658884609325497)"
"(11, 0.07798375100137529)","(528, 0.10335717869922129)","(383, 0.08545658641657954)","(428, 0.15491652586789725)","(104, 0.12450355347336935)","(518, 0.12426652207268733)","(273, 0.09238406447589692)","(623, 0.29132023824157693)","(110, 0.22462125823375406)"
"(634, 0.07754474723931185)","(424, 0.10335717869922124)","(115, 0.08498161646764331)","(541, 0.15491652586789725)","(580, 0.12355828319321426)","(654, 0.12204188210429404)","(40, 0.09158293915934311)","(554, 0.2911627252599393)","(52, 0.2235640887636117)"
"(165, 0.07704059678086199)","(185, 0.10204123827606616)","(581, 0.08450278167936184)","(532, 0.15430817358863474)","(136, 0.12350214338387225)","(28, 0.12168425585438843)","(547, 0.09077569619576799)","(78, 0.2900787068576861)","(479, 0.2180352188121793)"
"(386, 0.07681197887508416)","(547, 0.10088549634781432)","(11, 0.08416355416242284)","(472, 0.15317696678933346)","(250, 0.12081897294632614)","(219, 0.12036592421173846)","(312, 0.09011351102613172)","(550, 0.2892151266440218)","(103, 0.2171434554890381)"
"(388, 0.07681197887508397)","(275, 0.10013375721757754)","(317, 0.08383595327772327)","(578, 0.15317696678933346)","(578, 0.11927326020066017)","(669, 0.1167810365211587)","(317, 0.090069026129699)","(303, 0.28359876430463027)","(554, 0.21506861501774538)"
"(415, 0.07548948893342079)","(462, 0.09966076628526702)","(290, 0.0833665626279318)","(97, 0.15011460406626237)","(472, 0.11927326020066016)","(126, 0.11647584057487874)","(322, 0.08892702772200098)","(518, 0.2782973853693962)","(550, 0.21363001281836738)"
"(164, 0.07548948893342078)","(675, 0.0991361399796761)","(384, 0.0831411658667768)","(226, 0.14960692854207605)","(597, 0.11779433904118337)","(460, 0.11631894314405095)","(160, 0.088919901888382)","(218, 0.2773216657029423)","(664, 0.21201789083997635)"
"(420, 0.07548948893342078)","(580, 0.099106717173492)","(386, 0.08311823755707914)","(31, 0.14944506497554683)","(55, 0.11687590922269608)","(212, 0.11565918066573061)","(541, 0.08753135976297322)","(643, 0.2755992574724769)","(303, 0.2094814623172948)"
"(670, 0.07511873018216436)","(620, 0.09852505205484285)","(388, 0.08311823755707895)","(168, 0.14930850846085442)","(124, 0.11668484608021999)","(464, 0.11519056779043751)","(540, 0.0875313597629732)","(209, 0.2752004035323568)","(115, 0.20829061453168055)"
"(183, 0.07412323848464415)","(622, 0.09735026200535318)","(603, 0.08253328932163151)","(154, 0.1476023178798306)","(588, 0.11613244894872439)","(465, 0.11519056779043749)","(287, 0.08561071405044371)","(552, 0.2732826073207617)","(518, 0.20556557567944606)"
"(469, 0.07411646599319732)","(649, 0.09725159208444123)","(295, 0.08220902867188619)","(416, 0.1462437882754594)","(31, 0.11561880440172725)","(33, 0.11266596587784643)","(560, 0.08560494346477505)","(125, 0.2674961521582153)","(40, 0.20477937290289697)"
"(202, 0.07382765715899473)","(660, 0.09675917579592355)","(195, 0.08147390177015043)","(433, 0.1427687815408278)","(331, 0.11506998063633532)","(433, 0.11073797235407515)","(508, 0.08553102379046874)","(95, 0.2650039148302101)","(643, 0.2035725917581246)"
"(507, 0.07382765715899468)","(497, 0.09629736563918835)","(540, 0.0814739017701504)","(399, 0.14250774661140178)","(639, 0.11498282354966288)","(137, 0.10933269582088516)","(599, 0.08519599163646568)","(199, 0.26475252935268806)","(209, 0.2032779765582586)"
"(636, 0.07331854802717314)","(162, 0.09379052659704223)","(475, 0.08118101454023414)","(622, 0.14142358372012473)","(519, 0.11473102594314177)","(49, 0.1081049092124508)","(428, 0.0845347600968504)","(530, 0.2622733819409965)","(537, 0.20322686958660058)"
"(528, 0.07258165949547203)","(115, 0.09319402955798332)","(97, 0.08072308568980381)","(327, 0.13809639201656437)","(83, 0.11473102594314177)","(328, 0.10761837892018496)","(622, 0.08323876897999759)","(457, 0.26184307257498035)","(572, 0.20244061845917558)"
"(424, 0.072581659495472)","(389, 0.09275222736096042)","(217, 0.0806880544434094)","(628, 0.13416164686762813)","(149, 0.11473102594314176)","(295, 0.10620861900413621)","(648, 0.0825253574065035)","(499, 0.26184307257498)","(552, 0.20186138803462178)"
"(673, 0.07223120276522361)","(428, 0.09135570242816142)","(183, 0.08020875174803174)","(511, 0.13338825377406055)","(247, 0.11473102594314176)","(16, 0.10600198145758624)","(29, 0.08222086325150543)","(169, 0.2611305730976201)","(125, 0.19758719772897704)"
"(675, 0.07223097693081756)","(541, 0.09135570242816142)","(154, 0.07937212124256637)","(273, 0.13182219761289804)","(8, 0.11473102594314176)","(473, 0.10600198145758624)","(511, 0.07734688187720516)","(60, 0.26069499218870823)","(199, 0.19556060879528353)"
"(622, 0.07202814162144555)","(19, 0.09073649617975292)","(53, 0.07872625414681786)","(132, 0.13145103115086174)","(176, 0.11464841293899303)","(124, 0.10302957597848639)","(660, 0.07718150623151081)","(456, 0.2569632066179158)","(74, 0.19489133277397333)"
"(579, 0.07114354821344683)","(680, 0.08966417243162356)","(178, 0.07800148504308926)","(417, 0.13145103115086165)","(428, 0.11405435700592054)","(240, 0.10159564458046914)","(523, 0.07601321496569634)","(506, 0.2556324715896428)","(530, 0.19372937576302865)"
"(221, 0.0710028728078627)","(600, 0.0892131974608558)","(675, 0.07795490292605146)","(573, 0.13145103115086162)","(297, 0.11353026564366694)","(399, 0.10118884092298401)","(568, 0.07600609680759116)","(489, 0.2493506154740549)","(499, 0.1934115258758369)"
"(547, 0.07084594254703583)","(97, 0.0885239649054162)","(509, 0.07622362190113773)","(522, 0.12978455049438428)","(511, 0.11235175857986202)","(558, 0.10013444347848378)","(576, 0.07597591295316922)","(574, 0.24881437697064657)","(169, 0.19288523503397226)"
